7zip 25.01-1
a52dec 0.8.0-2
abseil-cpp 20250814.1-1
acl 2.3.2-1
adobe-source-code-pro-fonts 2.042u+1.062i+1.026vf-2
adwaita-cursors 49.0-1
adwaita-fonts 49.0-2
adwaita-icon-theme 49.0-1
adwaita-icon-theme-legacy 46.2-3
alsa-card-profiles 1:1.4.9-1
alsa-lib 1.2.14-2
alsa-plugins 1:1.2.12-5
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.14-2
aom 3.13.1-1
appstream 1.1.1-1
aquamarine 0.9.5-4
archlinux-keyring 20251027-3
argon2 20190702-6
aribb24 1.0.3-4
at-spi2-core 2.58.1-1
atkmm 2.28.4-1
attica 6.19.0-1
attr 2.5.2-1
audit 4.1.2-1
autoconf 2.72-1
automake 1.18.1-1
avahi 1:0.9rc2-1
ayatana-ido 0.10.4-1
baloo 6.19.0-1
baloo-widgets 25.08.2-1
base 3-2
base-devel 1-2
bash 5.3.3-2
bc 1.08.2-1
bibata-cursor-theme 2.0.7-1
binutils 2.45+r29+g2b2e51a31ec7-1
bison 3.8.2-8
blas 3.12.1-2
blueman 2.4.6-1
bluetui 0.7.2-1
bluez 5.84-1
bluez-libs 5.84-1
bluez-utils 5.84-1
boost 1.89.0-2
boost-libs 1.89.0-2
breeze-icons 6.19.0-1
brightnessctl 0.5.1-3
brltty 6.8-3
brotli 1.1.0-3
btop 1.4.5-1
bubblewrap 0.11.0-1
bun-bin 1.3.1-1
bun-bin-debug 1.3.1-1
bzip2 1.0.8-6
c-ares 1.34.5-1
ca-certificates 20240618-1
ca-certificates-mozilla 3.117-1
ca-certificates-utils 20240618-1
cairo 1.18.4-1
cairomm 1.14.5-1
cairomm-1.16 1.18.0-2
cantarell-fonts 1:0.303.1-2
capstone 5.0.6-1
cava 0.10.6-1
cblas 3.12.1-2
chromium 142.0.7444.59-1
cifs-utils 7.4-1
cliphist 1:0.7.0-1
cloudflared 2025.10.1-1
clucene 2.3.3.4-16
cmake 4.1.2-1
containerd 2.1.4-1
convertlit 1.8-13
coreutils 9.8-2
cppdap 1.58.0-2
cryptsetup 2.8.1-1
curl 8.16.0-1
cursor-bin 2.0.54-1
dav1d 1.5.2-1
db5.3 5.3.28-5
dbus 1.16.2-1
dbus-broker 37-2
dbus-broker-units 37-2
dbus-glib 0.114-1
dbus-units 37-2
dconf 0.49.0-1
debugedit 5.2-1
default-cursors 3-1
desktop-file-utils 0.28-1
device-mapper 2.03.36-1
diffutils 3.12-2
discord 1:0.0.113-1
dkms 3.2.2-1
docker 1:28.5.1-1
docker-compose 2.40.3-1
dolphin 25.08.2-1
double-conversion 3.3.1-1
dtc 1.7.2-4
duktape 2.7.0-7
e2fsprogs 1.47.3-1
ebook-tools 0.2.2-9
edk2-aarch64 202508-1
edk2-arm 202508-1
edk2-ovmf 202508-1
efibootmgr 18-3
efivar 39-1
eigen 5.0.0-3
electron34 34.5.8-1
electron37 37.5.1-1
elephant-debug 1.0.7-1
elephant-desktopapplications-debug 1.0.7-1
elephant-providerlist-debug 1.0.7-1
ell 0.80-1
enchant 2.8.12-1
evtest 1.36-1
exiv2 0.28.7-1
exo 4.20.0-2
expat 2.7.3-1
eza 0.23.4-1
faad2 2.11.2-1
fakeroot 1.37.1.2-1
fastfetch 2.54.0-1
fd 10.3.0-1
ffmpeg 2:8.0-3
ffmpeg4.4 4.4.6-3
ffmpegthumbnailer 2.2.3-4
fftw 3.3.10-7
file 5.46-5
filesystem 2025.10.12-1
findutils 4.10.0-3
firefox 144.0.2-1
flac 1.5.0-1
flex 2.6.4-5
fmt 12.1.0-1
fontconfig 2:2.17.1-1
freeglut 3.6.0-2
freetype2 2.14.1-1
fribidi 1.0.16-2
fuse-common 3.17.4-1
fuse-overlayfs 1.15-1
fuse2 2.9.9-5
fuse3 3.17.4-1
fzf 0.66.1-1
gawk 5.3.2-1
gc 8.2.10-2
